0,      0, 0,      0
0,      0, 0,      0
0,      0, 0,      0
0,      0, 0,      0
0,      0, 0,      0
0,      0, 0,      0
0,      0, 0,      0
0,      0, 0,      0
0,      0, 0,      0
0,      0, 0,      0
0,      0, 0,      0
1,   2621, 0,      0
0,   2621, 0,      0
0,   2621, 1,   2515
0,   2621, 0,   2515
1,  21676, 0,   2515
0,  21676, 0,   2515
0,  21676, 1,  20968
0,  21676, 0,  20968
1,   1506, 0,  20968
0,   1506, 0,  20968
0,   1506, 1,   2747
0,   1506, 0,   2747
1,  15086, 0,   2747
0,  15086, 0,   2747
0,  15086, 1,  14074
0,  15086, 0,  14074
1, -16433, 0,  14074
0, -16433, 0,  14074
0, -16433, 1, -15282
0, -16433, 0, -15282
1,  -8729, 0, -15282
0,  -8729, 0, -15282
0,  -8729, 1,  -8628
0,  -8729, 0,  -8628
1,  10325, 0,  -8628
0,  10325, 0,  -8628
0,  10325, 1,   8033
0,  10325, 0,   8033
1,   1506, 0,   8033
0,   1506, 0,   8033
0,   1506, 1,   4560
0,   1506, 0,   4560
1,  26437, 0,   4560
0,  26437, 0,   4560
0,  26437, 1,  23153
0,  26437, 0,  23153
1,  -5082, 0,  23153
0,  -5082, 0,  23153
0,  -5082, 1,  -2526
0,  -5082, 0,  -2526
1,  -8729, 0,  -2526
0,  -8729, 0,  -2526
0,  -8729, 1,  -8264
0,  -8729, 0,  -8264
1,  -1025, 0,  -8264
0,  -1025, 0,  -8264
0,  -1025, 1,  -4261
0,  -1025, 0,  -4261
1,  -9844, 0,  -4261
0,  -9844, 0,  -4261
0,  -9844, 1,  -5202
0,  -9844, 0,  -5202
1,  26437, 0,  -5202
0,  26437, 0,  -5202
0,  26437, 1,  21099
0,  26437, 0,  21099
1,   6268, 0,  21099
0,   6268, 0,  21099
0,   6268, 1,   9640
0,   6268, 0,   9640
1,   2621, 0,   9640
0,   2621, 0,   9640
0,   2621, 1,   3251
0,   2621, 0,   3251
1,  -1025, 0,   3251
0,  -1025, 0,   3251
0,  -1025, 1,  -4811
0,  -1025, 0,  -4811
1, -21195, 0,  -4811
0, -21195, 0,  -4811
0, -21195, 1, -14938
0, -21195, 0, -14938
1,  15086, 0, -14938
0,  15086, 0, -14938
0,  15086, 1,   8202
0,  15086, 0,   8202
1,   6268, 0,   8202
0,   6268, 0,   8202
0,   6268, 1,  10100
0,   6268, 0,  10100
1,  13971, 0,  10100
